row_index,country,date,total_cases,total_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,datestamp
88,Kazakhstan,05/16/2020,5850,34,2980,2836,31,329.52,1.92,505216,28457.74,2020-05-16 11:00:05.3358890 -05:00
89,Albania,05/16/2020,933,31,714,188,1,323.28,10.74,11764,4076.19,2020-05-16 06:00:04.8975640 -05:00
90,Guatemala,05/16/2020,1643,30,135,1478,5,101.57,1.85,7200,445.10,2020-05-15 22:00:05.4200130 -05:00
91,Ghana,05/16/2020,5735,29,1754,3952,5,207.26,1.05,171642,6203.14,2020-05-16 18:00:04.7724000 -05:00
92,Sierra Leone,05/16/2020,462,29,106,327,0,65.29,4.10,0,0.00,2020-05-16 18:00:04.7880300 -05:00
93,Slovakia,05/16/2020,1493,28,1151,314,3,275.14,5.16,139986,25797.92,2020-05-16 03:00:05.1474800 -05:00
94,El Salvador,05/16/2020,1265,26,441,798,18,194.00,3.99,53412,8191.18,2020-05-16 15:00:04.8794330 -05:00
95,Lebanon,05/16/2020,902,26,247,629,4,150.63,4.34,59588,9951.24,2020-05-16 08:00:05.4532130 -05:00
96,Senegal,05/16/2020,2429,25,949,1455,6,164.12,1.69,24599,1662.11,2020-05-16 10:00:05.1155360 -05:00
97,Ivory Coast,05/16/2020,2061,25,987,1049,0,90.91,1.10,15260,673.10,2020-05-16 17:00:05.6964180 -05:00
98,Isle of Man,05/16/2020,335,24,285,26,9,3964.64,284.03,4066,48120.05,2020-05-16 12:00:07.2041770 -05:00
99,Singapore,05/16/2020,27356,22,8342,18992,16,4942.37,3.97,224262,40517.07,2020-05-16 12:00:07.1781730 -05:00
100,Oman,05/16/2020,5029,21,1436,3572,31,1137.75,4.75,61000,13800.49,2020-05-16 12:00:07.1881750 -05:00
101,New Zealand,05/16/2020,1498,21,1428,49,0,318.87,4.47,223937,47667.94,2020-05-16 17:00:05.6964180 -05:00
102,Tanzania,05/16/2020,509,21,183,305,7,9.23,0.38,0,0.00,2020-05-08 18:00:06.6503060 -05:00
103,Haiti,05/16/2020,358,20,29,309,0,32.32,1.81,1669,150.66,2020-05-16 17:00:05.7120430 -05:00
104,Liberia,05/16/2020,223,20,116,87,0,48.32,4.33,0,0.00,2020-05-16 11:00:05.3515340 -05:00
105,Latvia,05/16/2020,997,19,662,316,3,508.26,9.69,87377,44543.74,2020-05-16 04:00:04.3654140 -05:00
106,Uruguay,05/16/2020,733,19,558,156,5,210.62,5.46,33036,9492.50,2020-05-16 18:00:04.7880300 -05:00
107,Mayotte,05/16/2020,1312,18,627,667,9,5781.90,79.32,5200,22916.07,2020-05-16 12:00:07.1951730 -05:00
108,Yemen,05/16/2020,122,18,1,103,0,4.44,0.66,120,4.37,2020-05-16 09:00:04.9328070 -05:00
109,Cyprus,05/16/2020,914,17,515,382,10,1079.10,20.07,85301,100709.56,2020-05-16 13:00:06.3745410 -05:00
